"Manufacturer Part Number","Manufacturer","Digi-Key Part Number","Customer Reference","Reference Designator","Packaging","Part Status","Quantity","Unit Price","Extended Price","Quantity Available","Mfg Std Lead Time","Description","RoHS Status","Lead Free Status","REACH Status","US Tariff Status"
"CRG1206F100K","TE Connectivity Passive Product","A106067CT-ND","","","Cut Tape (CT)","Active","14","0.06900","$0.96","6640","28 Weeks","RES SMD 100K OHM 1% 1/4W 1206","RoHS Compliant","Lead free","Not Available",""
"RNCP1206FTD1K00","Stackpole Electronics Inc","RNCP1206FTD1K00CT-ND","","","Cut Tape (CT)","Active","2","0.10000","$0.20","447909","18 Weeks","RES 1K OHM 1% 1/2W 1206","RoHS Compliant","Lead free","REACH Unaffected",""
"CRG1206F4K7","TE Connectivity Passive Product","A106078CT-ND","","","Cut Tape (CT)","Active","2","0.10000","$0.20","25616","28 Weeks","RES SMD 4.7K OHM 1% 1/4W 1206","RoHS Compliant","Lead free","Not Available",""
"RNCP1206FTD20K0","Stackpole Electronics Inc","RNCP1206FTD20K0CT-ND","","","Cut Tape (CT)","Active","4","0.10000","$0.40","183379","18 Weeks","RES 20K OHM 1% 1/2W 1206","RoHS Compliant","Lead free","REACH Unaffected",""
"RMCF1206FT47K0","Stackpole Electronics Inc","RMCF1206FT47K0CT-ND","","","Cut Tape (CT)","Active","2","0.10000","$0.20","46701","17 Weeks","RES 47K OHM 1% 1/4W 1206","RoHS Compliant","Lead free","REACH Unaffected","Tariff Applied"
"RC1206FR-072KL","Yageo","311-2.00KFRCT-ND","","","Cut Tape (CT)","Active","6","0.10000","$0.60","2167184","16 Weeks","RES SMD 2K OHM 1% 1/4W 1206","RoHS Compliant","Lead free","REACH Unaffected","Tariff Applied"
"RMCF1206FT470K","Stackpole Electronics Inc","RMCF1206FT470KCT-ND","","","Cut Tape (CT)","Active","2","0.10000","$0.20","55525","17 Weeks","RES 470K OHM 1% 1/4W 1206","RoHS Compliant","Lead free","REACH Unaffected","Tariff Applied"
"CRG1206F470R","TE Connectivity Passive Product","A106077CT-ND","","","Cut Tape (CT)","Active","2","0.10000","$0.20","12226","28 Weeks","RES SMD 470 OHM 1% 1/4W 1206","RoHS Compliant","Lead free","Not Available",""
"RC1206FR-0730KL","Yageo","311-30.0KFRCT-ND","","","Cut Tape (CT)","Active","2","0.10000","$0.20","713534","16 Weeks","RES SMD 30K OHM 1% 1/4W 1206","RoHS Compliant","Lead free","REACH Unaffected","Tariff Applied"
"RC1206FR-07120KL","Yageo","311-120KFRCT-ND","","","Cut Tape (CT)","Active","2","0.10000","$0.20","1146043","16 Weeks","RES SMD 120K OHM 1% 1/4W 1206","RoHS Compliant","Lead free","REACH Unaffected","Tariff Applied"
"RC1206FR-07150RL","Yageo","311-150FRCT-ND","","","Cut Tape (CT)","Active","2","0.10000","$0.20","2345745","16 Weeks","RES SMD 150 OHM 1% 1/4W 1206","RoHS Compliant","Lead free","REACH Unaffected","Tariff Applied"
"RC1206FR-072ML","Yageo","311-2.00MFRCT-ND","","","Cut Tape (CT)","Active","2","0.10000","$0.20","323614","16 Weeks","RES SMD 2M OHM 1% 1/4W 1206","RoHS Compliant","Lead free","REACH Unaffected","Tariff Applied"
"C1206C104K3RACTU","KEMET","399-8140-1-ND","","","Cut Tape (CT)","Active","4","0.15000","$0.60","1047","53 Weeks","CAP CER 0.1UF 25V X7R 1206","RoHS Compliant","Lead free","REACH Unaffected",""
"LM13700MX/NOPB","Texas Instruments","LM13700MX/NOPBCT-ND","","","Cut Tape (CT)","Active","1","1.20000","$1.20","16763","8 Weeks","IC OPAMP TRANSCOND 2MHZ 16SOIC","RoHS Compliant","Lead free","REACH Unaffected",""
"TL084CDT","STMicroelectronics","497-2217-1-ND","","","Cut Tape (CT)","Active","1","0.55000","$0.55","4688","10 Weeks","IC OPAMP JFET 4MHZ 14SO","RoHS Compliant","Lead free","Not Available","Tariff Applied"
"2N3904BU","ON Semiconductor","2N3904FS-ND","","","Bulk","Active","2","0.21000","$0.42","146536","6 Weeks","TRANS NPN 40V 0.2A TO-92","RoHS Compliant","Lead free","Not Available","Tariff Applied"
"2N3906-AP","Micro Commercial Co","2N3906-APCT-ND","","","Cut Tape (CT)","Active","2","0.19000","$0.38","29633","14 Weeks","TRANS PNP 40V 0.2A TO92","RoHS Compliant","Lead free","REACH Unaffected","Tariff Applied"
"PV36W104C01B00","Bourns Inc.","490-2876-ND","","","Tube","Active","2","1.50000","$3.00","10438","8 Weeks","TRIMMER 100K OHM 0.5W PC PIN TOP","RoHS Compliant","Lead free","REACH Unaffected",""
"PV36W202C01B00","Bourns Inc.","490-2880-ND","","","Bulk","Active","2","1.50000","$3.00","2538","8 Weeks","TRIMMER 2K OHM 0.5W PC PIN TOP","RoHS Compliant","Lead free","REACH Unaffected",""
"ECA-1HM100I","Panasonic Electronic Components","P10425CT-ND","","","Cut Tape (CT)","Active","2","0.22000","$0.44","25174","15 Weeks","CAP ALUM 10UF 20% 50V RADIAL","RoHS Compliant","Lead free","Not Available",""
"302-S101","On Shore Technology Inc.","ED1543-ND","","","Bulk","Active","1","0.29000","$0.29","116674","12 Weeks","CONN HEADER VERT 10POS 2.54MM","RoHS Compliant","Lead free","REACH Unaffected","Tariff Applied"
"61300311121","Wurth Electronics Inc.","732-5316-ND","","","Bag","Active","1","0.13000","$0.13","188489","14 Weeks","CONN HEADER VERT 3POS 2.54MM","RoHS Compliant","Lead free","REACH Unaffected",""
"61300411121","Wurth Electronics Inc.","732-5317-ND","","","Bag","Active","4","0.18000","$0.72","26051","14 Weeks","CONN HEADER VERT 4POS 2.54MM","RoHS Compliant","Lead free","REACH Unaffected",""
"PPPC031LFBN-RC","Sullins Connector Solutions","S7036-ND","","","Tray","Active","1","0.37000","$0.37","2578","4 Weeks","CONN HDR 3POS 0.1 GOLD PCB","RoHS Compliant","Lead free","REACH Unaffected",""
"PPTC041LFBN-RC","Sullins Connector Solutions","S7002-ND","","","Tray","Active","4","0.45000","$1.80","22258","4 Weeks","CONN HDR 4POS 0.1 TIN PCB","RoHS Compliant","Lead free","REACH Unaffected",""
"4-1825136-9","TE Connectivity ALCOSWITCH Switches","450-1523-ND","","","Bulk","Active","2","4.12000","$8.24","1933","9 Weeks","SWITCH TOGGLE SPDT 5A 120V","RoHS Compliant","Lead free","Not Available","Tariff Applied"
