"Manufacturer Part Number","Manufacturer","Digi-Key Part Number","Customer Reference","Reference Designator","Packaging","Part Status","Quantity","Unit Price","Extended Price","Quantity Available","Mfg Std Lead Time","Description","RoHS Status","Lead Free Status","REACH Status","US Tariff Status"
"RMCF1206FT10K0","Stackpole Electronics Inc","RMCF1206FT10K0CT-ND","","","Cut Tape (CT)","Active","11","0.03600","$0.39","1007044","17 Weeks","RES 10K OHM 1% 1/4W 1206","RoHS Compliant","Lead free","REACH Unaffected","Tariff Applied"
"CRG1206F100K","TE Connectivity Passive Product","A106067CT-ND","","","Cut Tape (CT)","Active","11","0.06900","$0.75","6640","28 Weeks","RES SMD 100K OHM 1% 1/4W 1206","RoHS Compliant","Lead free","Not Available",""
"RC1206FR-071ML","Yageo","311-1.00MFRCT-ND","","","Cut Tape (CT)","Active","5","0.10000","$0.50","3634941","16 Weeks","RES SMD 1M OHM 1% 1/4W 1206","RoHS Compliant","Lead free","REACH Unaffected","Tariff Applied"
"RNCP1206FTD1K00","Stackpole Electronics Inc","RNCP1206FTD1K00CT-ND","","","Cut Tape (CT)","Active","5","0.10000","$0.50","447909","18 Weeks","RES 1K OHM 1% 1/2W 1206","RoHS Compliant","Lead free","REACH Unaffected",""
"CRG1206F4K7","TE Connectivity Passive Product","A106078CT-ND","","","Cut Tape (CT)","Active","3","0.10000","$0.30","25616","28 Weeks","RES SMD 4.7K OHM 1% 1/4W 1206","RoHS Compliant","Lead free","Not Available",""
"RNCP1206FTD20K0","Stackpole Electronics Inc","RNCP1206FTD20K0CT-ND","","","Cut Tape (CT)","Active","3","0.10000","$0.30","183379","18 Weeks","RES 20K OHM 1% 1/2W 1206","RoHS Compliant","Lead free","REACH Unaffected",""
"RMCF1206FT47K0","Stackpole Electronics Inc","RMCF1206FT47K0CT-ND","","","Cut Tape (CT)","Active","2","0.10000","$0.20","46701","17 Weeks","RES 47K OHM 1% 1/4W 1206","RoHS Compliant","Lead free","REACH Unaffected","Tariff Applied"
"CR1206-FX-2003ELF","Bourns Inc.","CR1206-FX-2003ELFCT-ND","","","Cut Tape (CT)","Active","2","0.10000","$0.20","14471","21 Weeks","RES SMD 200K OHM 1% 1/4W 1206","RoHS Compliant","Lead free","REACH Unaffected",""
"RMCF1206FT475R","Stackpole Electronics Inc","RMCF1206FT475RCT-ND","","","Cut Tape (CT)","Active","1","0.10000","$0.10","27071","17 Weeks","RES 475 OHM 1% 1/4W 1206","RoHS Compliant","Lead free","REACH Unaffected","Tariff Applied"
"CRCW12063K00FKEA","Vishay Dale","541-3.00KFCT-ND","","","Cut Tape (CT)","Active","1","0.10000","$0.10","54673","Not Available","RES SMD 3K OHM 1% 1/4W 1206","RoHS Compliant","Lead free","Not Available",""
